"keyword","pc_vol","mobile_vol","total_vol","competition"
"퇴직금계산기","88100","203200","291300","높음"
"시급계산기","48400","138400","186800","높음"
"실업급여계산기","27300","81700","109000","낮음"
"부가세계산기","65400","31600","97000","높음"
"주휴수당계산기","16300","74000","90300","중간"
"취득세계산기","23000","43300","66300","높음"
"양도세계산기","15600","41800","57400","높음"
"재산세계산기","14300","34500","48800","중간"
"양도소득세계산기","10400","20700","31100","높음"
"연차계산기","19100","10900","30000","높음"
"연차수당계산기","14400","13700","28100","높음"
"종부세계산기","8190","18700","26890","중간"
"세금계산기","6280","19700","25980","낮음"
"3.3%계산기","4830","19500","24330","낮음"
"부동산양도세계산기","5630","14100","19730","낮음"
"사대보험계산기","7200","11200","18400","높음"
"증여세계산기","4740","13300","18040","높음"
"고용노동부퇴직금계산기","7510","4990","12500","중간"
"종합부동산세계산기","3760","4350","8110","낮음"
"상속세계산기","1980","5860","7840","높음"
"아파트양도세계산기","1750","4730","6480","낮음"
"근무일수계산기","3670","2090","5760","높음"
"부동산양도소득세계산기","1870","3480","5350","낮음"
"종합소득세환급","910","3900","4810","높음"
"월급여계산기","1580","1980","3560","높음"
"퇴직금세금계산기","1120","2220","3340","중간"
"세금환급","520","2590","3110","높음"
"종합소득세계산기","1210","1710","2920","높음"
"원천세계산기","1880","1020","2900","낮음"
"세금환급금조회","550","2290","2840","높음"
"알바급여계산기","570","1970","2540","중간"
"원천징수계산기","1270","1230","2500","낮음"
"아파트증여세계산기","480","1640","2120","중간"
"토지양도세계산기","530","1330","1860","높음"
"현금증여세계산기","460","1270","1730","낮음"
"부동산증여세계산기","390","1010","1400","높음"
"퇴직금계산기준","380","720","1100","낮음"
"3.3%","540","510","1050","중간"
"토지양도소득세계산기","330","520","850","높음"
"종소세계산기","180","550","730","낮음"
"휴일수당계산기","270","410","680","낮음"
"세금환급신청","80","350","430","높음"
"임원퇴직금계산기","290","70","360","높음"
"상속취득세계산기","110","170","280","낮음"
"국세청세금환급","40","240","280","높음"
"양도세환급","80","190","270","높음"
"증여취득세계산기","130","110","240","낮음"
"양도소득세환급","50","160","210","높음"
"종부세환급","40","100","140","높음"
"프리랜서세금계산기","30","70","100","낮음"
"상가취득세계산기","40","50","90","높음"
"증여세가산세계산기","5","70","75","낮음"
"법인환급금조회","30","40","70","높음"
"퇴직금계산기엑셀","60","5","65","높음"
"개인사업자종합소득세계산기","30","30","60","낮음"
"고용보험실업급여계산기","20","40","60","낮음"
"토지증여세계산기","20","30","50","낮음"
"종합소득세3.3","10","30","40","높음"
"시급계산기엑셀","20","20","40","낮음"
"상속계산기","10","10","20","낮음"
"2024실업급여계산기","5","5","10","낮음"
"양도소득세율계산기","5","5","10","낮음"
"국세청홈택스환급","5","5","10","높음"
"엑셀시급계산기","5","5","10","중간"
